,Date,Tweet,Sentiment Score,Sentiment Result
200,2019-10-21 19:50:23,Order Tesla Solar + Powerwall battery for 24/7 clean power & no blackouts!http://Tesla.com/solar ,0.3666666666666667,Positive
185,2019-10-28 15:49:23,Tesla Solar plus Powerwall battery backup for 24/7 clean energy & no blackouts athttp://Tesla.com/solar ,0.3666666666666667,Positive
126,2019-12-07 23:56:40,Huge thanks to everyone who contributed ideas to Cybertruck. It’s better because of you! ,0.3666666666666667,Positive
417,2019-07-03 09:58:24,"    please:

We are excited to announce that Model 3 just earned a 5-star safety rating from @EuroNCAP https://ts.la/2LxSs73 ",0.375,Positive
230,2019-10-04 03:12:10,Excited about launching @NASA asteroid defense mission! #Armageddon69https://twitter.com/SciGuySpace/status/1116451957844193280 …,0.375,Positive
85,2020-01-12 08:16:07,"[WANTED!!!] 
Why not be the ‘first woman’ to travel to the moon?
#MZ_looking_for_love
https://mz.abema.tv/en.html pic.twitter.com/mK6fIJDeiv",0.375,Positive
397,2019-07-10 23:39:40,The @Space_Station is moving at ~25 times the speed of sound & orbits the Earth every 90 minuteshttps://twitter.com/wonderofscience/status/1147877818191106053 …,0.4,Positive
547,2019-05-01 14:32:37,"Model 3 is now available to order in the UK

Design yours today – http://tesla.com/model3/design https://cards.twitter.com/cards/7x0uw/7agsf …",0.4,Positive
248,2019-09-26 14:57:34,Tesla V10.0 just started rolling out to all US Tesla owners with FSD option & “advanced download” selected in vehicle software settings,0.4,Positive
348,2019-07-29 23:56:11,Tesla Megapack now available for utility-scale energy storagehttps://www.tesla.com/blog/introducing-megapack-utility-scale-energy-storage?redirect=no?utm_campaign=Utility&utm_source=twitter&utm_medium= …,0.4,Positive
495,2019-05-27 01:26:13,You Really Can't Afford 'Not' To Own A Tesla: 200K-Mile Cost Analysis https://insideevs.com/news/351491/tesla-long-term-cost-ownership-analysis/amp/ … via @insideevs.com,0.4,Positive
351,2019-07-28 09:46:07,Falcon 9 piercing the sound barrier on reentrypic.twitter.com/pMkBaeHVqT,0.4,Positive
433,2019-06-25 10:05:55,Deployment of DSX confirmed!pic.twitter.com/O0nFH1NdFl,0.4,Positive
546,2019-05-03 01:32:22,Changing Tesla horn sound to ,0.4,Positive
487,2019-05-31 15:17:52,Important Announcement (unless you like paying for gas): All inventory Model S and Model X cars now come with unlimited free Supercharging. This ends on June 30.,0.4,Positive
141,2019-11-27 16:15:35,"This one is deep.
Happy Thanksgiving!pic.twitter.com/2Dog5HBxjX",0.4,Positive
186,2019-10-27 22:24:16,Took my son to play piano for the seniors home in Pasadena. It was lovely to see them smile ,0.4,Positive
100,2019-12-28 04:06:37,"Build super safe, Earthquake-proof tunnels under cities to solve traffic",0.41666666666666663,Positive
213,2019-10-12 00:31:15,"Data of my Tesla Solar panels from September (3/4 of the month)

Our family is now able to power all the home appliances & charge the Tesla Model 3 with Clean & Free Solar energy!!pic.twitter.com/CLNI3KvoBe",0.4222222222222222,Positive
541,2019-05-06 00:21:06,"Space is easy, orbit is hardhttps://twitter.com/NASA/status/1125190944519786496 …",0.43333333333333335,Positive
95,2020-01-01 06:50:06,Congratulations Tesla & SpaceX on great 2019! You rock!! Looking forward to epic 2020 ,0.45,Positive
107,2019-12-23 16:02:59,Whoa … the stock is so high lol,0.48000000000000004,Positive
534,2019-05-09 00:22:33,Wow. @elonmusk First time using Nav on AP with auto lane change and it is AMAZING. Anyone who disbelieves autonomy is coming needs to try it out. I’m seriously impressed.  #Tesla @tesla #myfuturerobotaxi $TSLApic.twitter.com/ztqGc10VfA,0.48750000000000004,Positive
383,2019-07-16 19:32:27,"“If you dislike change, you're going to dislike irrelevance even more.” — Gen Shinseki",0.5,Positive
381,2019-07-17 19:08:09,"We've released a preprint with additional scientific detail on our devices for domain experts who want to know more. You can find it on bioArxiv: ""An integrated brain-machine interface platform with thousands of channels""https://www.biorxiv.org/content/10.1101/703801v1 …",0.5,Positive
543,2019-05-04 21:38:04,More photos from Falcon 9’s 40th successful launch from Pad 40 in Florida and 39th first stage rocket booster landing to date → http://flickr.com/spacex pic.twitter.com/b8Tjz20prv,0.5,Positive
531,2019-05-09 20:46:27,Turns out there’s more ways to use Autopilot than we imagined,0.5,Positive
427,2019-06-28 08:12:49,Thanks for the happy birthday wishes! ,0.5,Positive
513,2019-05-18 23:15:21,Lots more games coming once we finish porting Unity!https://twitter.com/teslainvernon/status/1129594966588547072 …,0.5,Positive
400,2019-07-09 14:17:23,Is Tesla Autopilot Safe?http://zpr.io/gd7BG ,0.5,Positive
492,2019-05-30 03:10:55,I drive 65 miles a day on autopilot M-F. Please stop telling me it doesn't work and it isn't safe. My commute is forever changed and @tesla has created a life hack. The awareness is just a matter of time before everyone becomes a Teliever. @elonmusk,0.5,Positive
491,2019-05-30 13:56:47,My autopilot has changed my commute. Just drove to work on torrential downpour on Autopilot. It sees better than me!,0.5,Positive
416,2019-07-03 10:01:31,"Hey @elonmusk, can confirm Model 3 quicker and better handling than BMW M3, M4 ... 911, Vette, Ferrari, Aston Martin...https://www.teslarati.com/tesla-model-3-fastest-lap-record-laguna-seca-video/ …",0.5,Positive
485,2019-05-31 19:10:51,S/X HEPA filter is one of my favorite features,0.5,Positive
522,2019-05-16 01:26:39,"Starlink mission will be heaviest @SpaceX payload ever at 18.5 tons. If all goes well, each launch of 60 satellites will generate more power than Space Station & deliver 1 terabit of bandwidth to Earth.",0.5,Positive
0,2020-02-25 22:47:31,Starship SN1 tank preparing for Raptor attachment & static firepic.twitter.com/jx0ijLrxWx,0.5,Positive
289,2019-08-30 00:36:08,"Team in McGregor, Texas completed a static fire test today of the Falcon 9 booster that will launch Crew Dragon with @NASA astronauts @AstroBehnken and @Astro_Doug to the @space_stationpic.twitter.com/bYQEeE3Zab",0.5,Positive
337,2019-08-04 08:32:53,I  Top Hathttps://m.youtube.com/watch?v=kXrLw-DRH2g …,0.5,Positive
8,2020-02-20 19:54:33,Tesla Model 3 Is Consumer Reports' Top EV Pick for 2020 http://dlvr.it/RQR6Rn pic.twitter.com/AyIfI6CsNb,0.5,Positive
24,2020-02-08 08:00:00,"feeling cute, might delete laterpic.twitter.com/TtDJcr9Qiq",0.5,Positive
171,2019-11-08 01:53:33,2020 Tesla Model 3 beats Hyundai IONIQ to become most efficient EV produced https://electrek.co/2019/11/07/2020-tesla-model-3/ … by @llsethjpic.twitter.com/YfCosKOrik,0.5,Positive
50,2020-01-31 04:36:54,Hope you’re enjoying the simulationpic.twitter.com/nj9JTJc4lL,0.5,Positive
90,2020-01-10 06:53:10,Bitcoin is *not* my safe word,0.5,Positive
290,2019-08-30 03:53:04,Regional Road Trips More Convenient In A Tesla Than A Gasmobile https://cleantechnica.com/2019/08/29/regional-road-trips-more-convenient-in-a-tesla-than-a-gasmobile/ …pic.twitter.com/fSXRVpV7lH,0.5,Positive
279,2019-09-09 02:35:39,Why aren’t more people talking about this!?pic.twitter.com/iUFIBcDQrp,0.5,Positive
151,2019-11-22 21:13:36,"Better truck than an F-150, faster than a Porsche 911. Order Cybertruck online athttps://www.tesla.com/cybertruck/design#battery …",0.5,Positive
163,2019-11-15 19:02:17,Innovation comes in many wayshttps://twitter.com/Casey/status/1195397575089647616 …,0.5,Positive
127,2019-12-07 20:55:20,Falcon 9 lands on the Of Course I Still Love You droneship after delivering Dragon to orbitpic.twitter.com/Iumj0mJjyi,0.5,Positive
208,2019-10-13 14:15:11,Tesla’s ‘Bioweapon Defense Mode’ is proving invaluable once more amid CA’s wildfireshttps://www.teslarati.com/tesla-bioweapon-defense-mode-saves-owners …,0.5,Positive
131,2019-12-05 14:27:51,"Falcon 9 launch of Dragon targeted for 12:29 p.m. EST, 17:29 UTC. Winds are looking better ahead of today’s attempt → http://spacex.com/webcast pic.twitter.com/p3p2XhxFRz",0.5,Positive
173,2019-11-07 17:01:23,Tesla receives top scores in Moody’s Carbon Transition Assessmenthttps://www.teslarati.com/tesla-top-scores-moodys-carbon-transition-assessment/ …,0.5,Positive
346,2019-07-30 04:37:23,"Australia and New Zealand: welcome to the  safety rating club!
 
Australia’s New Car Assessment Program just gave Model 3 a perfect 5-star rating for our Aussie and NZ owners.https://twitter.com/ANCAPsafety/status/1156060826404438016 …",0.5181818181818182,Positive
103,2019-12-24 15:02:56,"Happy Holidays via OTA!

Awesome first look at Tesla's (2019.40.50) software update in action, by @tesla_raj : Text messaging support, voice commands, and morehttps://bit.ly/2SoMHMC ",0.5375,Positive
323,2019-08-09 07:26:50,Tesla software V10 is lookin real good! Releasing to early access list soon …,0.55,Positive
478,2019-06-03 21:52:29,"Good splashdown of Dragon confirmed, completing SpaceX’s seventeenth resupply mission to and from the @Space_Station!",0.55,Positive
420,2019-07-02 16:43:40,Took Tesla Model 3 ⁦to @CaffandMac⁩ to see reactions. Got 320 miles to one charge. This is £50k Performance version that does 0-60 in 3.2 secs and 163 mph. World’s best electric car by a big margin. Loved it. ⁦@Tesla⁩ #tesla ⁦@elonmusk⁩pic.twitter.com/GT4Xx84iQt,0.5666666666666667,Positive
558,2019-04-26 20:51:44,"Here’s a rundown of the best software updates from Tesla that have made our cars better, safer and more fun overnight    https://www.usatoday.com/story/tech/2019/04/26/tesla-software-updates-feel-like-new-car-mode-list/2882449002/ …",0.575,Positive
503,2019-05-24 03:33:56,Successful deployment of 60 Starlink satellites confirmed!pic.twitter.com/eYrLocCiws,0.575,Positive
356,2019-07-26 03:49:11,Starhopper flight successful. Water towers *can* fly haha!!,0.5833333333333334,Positive
475,2019-06-07 19:01:01,"Elon Musk’s Tesla, SpaceX top list of most attractive employers for engineering studentshttps://www.teslarati.com/tesla-spacex-best-employers-2019-elon-musk …",0.6,Positive
