,Date,Tweet,Sentiment Score,Sentiment Result
105,2019-12-23 19:59:00,Yesterday the team completed the 10th successful multi-chute test in a row of Crew Dragon’s upgraded Mark 3 parachute design – one step closer to safely launching and landing @NASA astronautspic.twitter.com/nfFjnKygB4,0.625,Positive
374,2019-07-21 20:21:21,Great job to @swissloop for hitting a top speed of 160 mph!,0.65,Positive
159,2019-11-19 17:37:52,"National Science Foundation, u should add a W to ur name. Would get way more clicks. Ur welcome.",0.65,Positive
203,2019-10-16 19:29:27,Tesla wins best headlights award  https://twitter.com/Teslarati/status/1184548399028285443 …pic.twitter.com/8yfeJiXd0N,0.65,Positive
156,2019-11-21 22:12:28,Cybertruck design influenced partly by The Spy Who Loved Mehttps://m.youtube.com/watch?v=yeBqf6bYZak …,0.7,Positive
210,2019-10-13 03:20:15,Is Space Jam good?,0.7,Positive
313,2019-08-15 19:00:35,Tesla Model 3 hailed as ‘best electric car you can buy’ in noted reviewer’s Top 10 listhttps://www.teslarati.com/tesla-model-3-top-10-best-electric-car-carwow-video …,0.75,Positive
469,2019-06-12 15:13:25,Successful deployment of RCM-1 confirmedpic.twitter.com/r7nv42pu06,0.75,Positive
166,2019-11-13 02:36:20,Congrats to Tesla team on Model 3 winning best midsize car in Germany! https://www.axelspringer.com/en/press-releases/mobility-requires-freedom-the-golden-steering-wheel-2019-bild-am-sonntag-and-auto-bild-award-the-best-cars …,0.75,Positive
498,2019-05-25 09:34:06,Great adhttps://twitter.com/Audi/status/1126483572708249600 …,0.8,Positive
512,2019-05-19 01:39:07,"Tesla does not advertise or pay for endorsements. Instead, we use that money to make the product great.https://twitter.com/Teslarati/status/1129127540998705157 …",0.8,Positive
82,2020-01-14 18:23:23,Great songhttps://m.youtube.com/watch?v=TPgnj5upihQ …,0.8,Positive
46,2020-01-31 03:35:01,"With great pleasure, we bring to you @ElonMusk's Story Part 2!!! 

Thank you Elon for sharing with us. 

We can't wait to do this again!https://youtu.be/_a6lF2Ss3G4 ",0.8,Positive
25,2020-02-07 02:34:19,"SpaceX started with a mariachi band party. Great vibes here in Boca Chica, Texas!https://twitter.com/Gaelic_Neilson/status/1225606439407902720 …",0.8,Positive
326,2019-08-08 01:27:14,That @NHTSAgov letter to @elonmusk should be tossed in the trash. @Tesla Should Proudly Claim #Model3 Is Safest Car Ever Tested By NHTSA https://insideevs.com/news/363978/tesla-model-3-safest-car-nhtsa/amp/ … via @insideevs.com,0.8,Positive
110,2019-12-21 22:39:52,Great show pic.twitter.com/12rguHHpgz,0.8,Positive
215,2019-10-10 20:25:31,"Administrator Bridenstine is visiting @SpaceX headquarters today to see the progress being made on @Commercial_Crew flights to @Space_Station. Follow @JimBridenstine to watch a media event with @elonmusk and the astronauts who'll fly on Crew Dragon, at ~5pm ET.pic.twitter.com/oA97gHR4i7",0.8,Positive
496,2019-05-25 17:45:50,Beautiful solar sailhttps://twitter.com/SpaceX/status/1131748543373271042 …,0.85,Positive
431,2019-06-27 19:48:38,Design & production of The Spirit of St Louis was so incredible https://en.m.wikipedia.org/wiki/Spirit_of_St._Louis …,0.9,Positive
147,2019-11-24 20:24:48,Excellent review by Marques!https://twitter.com/MKBHD/status/1198392667287240705 …,1.0,Positive
266,2019-09-15 19:38:02,Joe Mode is the best modehttps://twitter.com/Teslarati/status/1173310632516620288 …,1.0,Positive
395,2019-07-11 17:30:47,Motor Trend awards Tesla Model S best Car of the Year ever in their 70 year history!!https://www.motortrend.com/news/2013-tesla-model-s-beats-chevy-toyota-cadillac-ultimate-car-of-the-year/ …,1.0,Positive
40,2020-02-04 00:13:15,Going max hardcore on design/production Starship here in Boca. It’s awesome! Feels a bit like a Mars simulator.,1.0,Positive
